"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT"
"B13-8315",1-01-01,1,51,9,4,17,0,0,0,0
"B13-8316",1-01-01,1,51,9,8,52,0,0,0,0
"B13-8318",1-01-01,1,47,10,7,60,0,0,0,0
"B13-8319",1-01-01,1,47,13,9,20,0,0,0,0
"B13-8321",1-01-01,1,54,5,10,23,0,0,0,0
"B13-8322",1-01-01,1,43,11,5,58,0,0,0,0
"B13-8325",1-01-01,1,33,5,1,4,0,0,0,0
"B13-8326",1-01-01,1,45,7,12,52,0,0,0,0
"B13-8328",1-01-01,1,76,15,15,338,0,0,45,-0.1
"B13-8333",1-01-01,1,54,13,9,14,0,0,0,0
"B13-8338",1-01-01,1,76,11,12,27,0,1,0,-0.1
"B13-8340",1-01-01,1,33,7,4,37,0,0,0,0
"B13-8346",1-01-01,1,55,11,6,6,0,0,1,0
"B13-8347",1-01-01,1,52,11,5,55,0,0,0,0
"B13-8349",1-01-01,1,38,8,10,120,0,0,0,0
"B13-8350",1-01-01,1,52,8,8,54,0,0,0,0
"B13-8351",1-01-01,1,42,6,6,36,0,0,0,0
"B13-8353",1-01-01,1,2,0,1,1,0,0,0,0
"B13-8355",1-01-01,1,61,8,11,44,0,0,0,0
"B13-8356",1-01-01,1,55,12,5,42,0,0,0,0
"B13-8358",1-01-01,1,43,7,7,63,0,0,0,0
"B13-8360",1-01-01,1,94,29,14,163,0,0,0,0
"B13-8363",1-01-01,1,62,11,12,46,0,0,0,0
"B13-8365",1-01-01,1,52,16,5,11,0,0,0,0
"B13-8367",1-01-01,1,37,5,14,90,0,0,1,0
"B13-8371",1-01-01,1,55,16,10,83,0,0,0,0
"B13-8372",1-01-01,1,22,3,3,9,0,0,22,0
"B13-8374",1-01-01,1,42,10,6,67,0,0,0,0
"B13-8375",1-01-01,1,58,13,10,67,0,0,0,0
"B13-8378",1-01-01,1,32,8,6,426,0,0,0,0
"B13-8382",1-01-01,1,60,15,12,29,0,0,0,-0.1
"B13-8383",1-01-01,1,36,10,9,51,0,0,0,0
"B13-8384",1-01-01,1,34,7,5,52,0,0,0,0
"B13-8388",1-01-01,1,66,11,19,132,0,0,2,0
"B13-8389",1-01-01,1,38,15,6,23,0,1,0,0
"B13-8390",1-01-01,1,30,4,6,1147,10,0,0,-0.1
"B13-8391",1-01-01,1,19,1,8,241,4,0,0,-0.1
"B13-8394",1-01-01,1,26,6,10,89,0,0,0,-0.2
"B13-8396",1-01-01,1,48,9,9,91,0,0,0,-0.1
"B13-8397",1-01-01,1,29,2,8,229,4,0,0,-0.2
"B13-8399",1-01-01,1,38,7,3,8,0,0,0,0
"B13-8401",1-01-01,1,52,6,9,59,0,0,0,0
"B13-8403",1-01-01,1,4,0,2,15,0,0,0,-0.1
"B13-8407",1-01-01,1,47,9,7,37,0,0,20,-0.1
"B13-8409",1-01-01,1,24,6,2,9,0,0,0,0
"B13-8411",1-01-01,1,18,1,7,382,207,0,0,-0.1
"B13-8413",1-01-01,1,14,3,0,0,0,0,0,0
"B13-8417",1-01-01,1,4,2,0,0,0,0,0,0
"B13-8419",1-01-01,1,13,4,0,0,0,0,0,0
"B13-8421",1-01-01,1,3,0,0,0,0,0,0,-0.2
"B13-8425",1-01-01,1,34,8,9,301,0,0,0,-0.1
"B13-8426",1-01-01,1,28,7,6,293,0,0,0,-0.1
"B13-8430",1-01-01,1,13,4,1,2,0,0,0,0
"B13-8431",1-01-01,1,57,12,12,1821,0,0,0,-0.1
"B13-8500",1-01-01,1,50,9,12,50,0,1,0,-0.1
"B13-9001",1-01-01,1,23,2,1,2,0,0,0,0
"B13-9002",1-01-01,1,24,5,0,0,0,0,0,0
"B13-9005",1-01-01,1,56,11,12,26,0,0,0,0
"B13-9007",1-01-01,1,133,22,24,107,0,0,0,0
"B13-9009",1-01-01,1,7,0,0,0,0,0,0,0
"B13-9011",1-01-01,1,43,4,6,10,0,0,0,0
"B13-9012",1-01-01,1,94,13,11,102,0,0,0,0
"B13-9019",1-01-01,1,36,3,9,16,0,0,0,0
"B13-9021",1-01-01,1,15,2,2,4,0,0,0,0
"B13-9022",1-01-01,1,26,4,2,6,0,0,0,0
"B13-9023",1-01-01,1,32,5,5,8,0,0,0,0
"B13-9025",1-01-01,1,62,6,10,41,0,0,0,0
"B13-9026",1-01-01,1,17,2,2,3,0,0,0,0
"B13-9028",1-01-01,1,21,3,3,7,0,0,0,0
"B13-9030",1-01-01,1,8,0,1,1,0,0,0,0
"B13-9033",1-01-01,1,18,1,4,8,0,0,0,0
"B13-9035",1-01-01,1,12,0,4,4,0,0,0,0
"B13-9036",1-01-01,1,9,0,0,0,0,0,0,0
"B13-9037",1-01-01,1,57,7,11,40,0,0,0,0
"B13-9040",1-01-01,1,47,8,13,32,0,0,0,0
"B13-9041",1-01-01,1,14,0,1,9,0,0,0,0
"B13-9047",1-01-01,1,10,0,2,2,0,0,0,0
"B13-9049",1-01-01,1,46,8,8,10,0,0,0,0
"B13-9055",1-01-01,1,23,5,0,0,0,0,0,0
"B13-9056",1-01-01,1,71,9,5,6,0,0,0,0
"B13-9057",1-01-01,1,6,1,2,2,0,0,0,0
"B13-9059",1-01-01,1,79,9,9,24,0,0,0,0
"B13-9060",1-01-01,1,10,0,2,2,0,0,0,0
"B13-9068",1-01-01,1,21,4,0,0,0,0,0,0
"B13-9069",1-01-01,1,6,1,0,0,0,0,0,0
"B13-9071",1-01-01,1,18,0,2,3,0,0,0,0
"B13-9073",1-01-01,1,43,11,1,5,0,0,0,0
"B13-9074",1-01-01,1,10,1,0,0,0,0,0,0
"B13-9076",1-01-01,1,3,0,0,0,0,0,0,0
"B13-9080",1-01-01,1,40,6,13,86,0,0,5,0
"B13-9084",1-01-01,1,9,1,0,0,0,0,0,0
"B13-9085",1-01-01,1,5,2,1,1,0,0,0,0
"B13-9087",1-01-01,1,75,5,19,80,0,0,0,-0.1
"B13-9091",1-01-01,1,23,5,0,0,0,0,0,0
"B13-9092",1-01-01,1,48,9,4,9,0,0,0,0
"B13-9093",1-01-01,1,6,0,0,0,0,0,0,0
"B13-9095",1-01-01,1,12,1,3,3,0,0,0,0
"B13-9099",1-01-01,1,9,0,0,0,0,0,0,0
"B13-9100",1-01-01,1,73,10,11,22,0,0,0,0
"B13-9104",1-01-01,1,63,6,10,17,0,0,0,0
"B13-9105",1-01-01,1,60,10,9,16,0,0,0,0
"B13-9106",1-01-01,1,13,2,1,1,0,0,0,0
"B13-9107",1-01-01,1,7,1,0,0,0,0,0,0
"B13-9109",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9111",1-01-01,1,51,8,13,33,0,0,0,0
"B13-9121",1-01-01,1,55,10,9,18,0,0,11,0
"B13-9122",1-01-01,1,27,6,6,7,0,0,0,0
"B13-9125",1-01-01,1,35,5,5,6,0,0,0,0
"B13-9129",1-01-01,1,51,8,9,22,0,0,0,0
"B13-9130",1-01-01,1,48,8,12,31,0,0,0,0
"B13-9131",1-01-01,1,56,6,15,78,0,0,0,0
"B13-9132",1-01-01,1,6,0,3,3,0,0,0,0
"B13-9133",1-01-01,1,7,1,0,0,0,0,0,0
"B13-9135",1-01-01,1,25,3,7,40,0,0,0,0
"B13-9137",1-01-01,1,7,0,1,1,0,0,0,0
"B13-9148",1-01-01,1,13,0,0,0,0,0,0,0
"B13-9149",1-01-01,1,13,1,1,1,0,0,0,0
"B13-9150",1-01-01,1,54,5,8,34,0,0,0,0
"B13-9151",1-01-01,1,12,0,2,3,0,0,0,-0.1
"B13-9152",1-01-01,1,95,12,14,88,0,0,0,0
"B13-9155",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9159",1-01-01,1,73,12,15,62,0,0,0,0
"B13-9160",1-01-01,1,9,0,4,20,0,0,0,0
"B13-9161",1-01-01,1,66,8,9,31,0,0,0,0
"B13-9163",1-01-01,1,14,2,2,2,0,0,0,0
"B13-9166",1-01-01,1,77,14,14,43,0,0,0,0
"B13-9170",1-01-01,1,8,2,3,6,0,0,0,0
"B13-9171",1-01-01,1,53,4,22,164,0,0,0,0
"B13-9173",1-01-01,1,52,9,8,12,0,0,0,0
"B13-9174",1-01-01,1,12,1,1,1,0,0,0,0
"B13-9177",1-01-01,1,78,14,11,66,0,0,0,0
"B13-9178",1-01-01,1,19,3,3,3,0,0,0,0
"B13-9179",1-01-01,1,27,5,3,6,0,0,0,0
"B13-9185",1-01-01,1,72,8,8,27,0,0,0,0
"B13-9186",1-01-01,1,87,12,13,50,0,0,0,0
"B13-9190",1-01-01,1,10,0,0,0,0,0,0,0
"B13-9192",1-01-01,1,87,12,19,49,0,0,0,0
"B13-9193",1-01-01,1,50,9,2,2,0,0,0,0
"B13-9194",1-01-01,1,87,13,16,49,0,0,0,0
"B13-9197",1-01-01,1,35,2,1,5,0,0,0,-0.2
"B13-9199",1-01-01,1,97,10,21,148,0,0,0,0
"B13-9201",1-01-01,1,10,0,2,3,0,0,0,0
"B13-9202",1-01-01,1,81,12,20,169,0,0,0,0
"B13-9204",1-01-01,1,40,5,11,26,0,0,2,0
"B13-9205",1-01-01,1,39,11,1,1,0,0,0,0
"B13-9207",1-01-01,1,14,1,1,1,0,0,0,0
"B13-9210",1-01-01,1,10,2,0,0,0,0,0,0
"B13-9211",1-01-01,1,5,1,0,0,0,0,0,0
"B13-9214",1-01-01,1,81,7,19,68,0,0,0,0
"B13-9217",1-01-01,1,74,7,14,72,0,0,0,0
"B13-9219",1-01-01,1,66,10,17,70,0,0,0,0
"B13-9221",1-01-01,1,99,13,18,73,0,0,0,-0.1
"B13-9223",1-01-01,1,8,1,0,0,0,0,0,-0.1
"B13-9225",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9228",1-01-01,1,14,2,0,0,0,0,0,0
"B13-9229",1-01-01,1,104,13,16,49,0,0,0,0
"B13-9231",1-01-01,1,1,0,0,0,0,0,0,0
"B13-9236",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9237",1-01-01,1,31,7,3,9,0,0,0,0
"B13-9239",1-01-01,1,90,15,17,76,0,0,8,0
"B13-9241",1-01-01,1,4,1,0,0,0,0,0,0
"B13-9245",1-01-01,1,49,9,10,47,0,0,8,0
"B13-9246",1-01-01,1,7,0,2,4,0,0,0,0
"B13-9250",1-01-01,1,11,1,2,3,0,0,0,-0.1
"B13-9251",1-01-01,1,61,12,7,11,0,0,0,0
"B13-9257",1-01-01,1,103,8,16,224,0,0,0,-0.1
"B13-9259",1-01-01,1,9,0,1,1,0,0,0,0
"B13-9263",1-01-01,1,53,11,7,21,0,0,0,0
"B13-9266",1-01-01,1,51,11,9,128,0,0,0,0
"B13-9267",1-01-01,1,38,4,7,7,0,0,0,0
"B13-9274",1-01-01,1,64,7,16,92,0,0,0,0
"B13-9277",1-01-01,1,57,12,7,8,0,0,0,-0.1
"B13-9281",1-01-01,1,16,2,3,5,0,0,0,0
"B13-9284",1-01-01,1,2,0,0,0,0,0,0,0
"B13-9285",1-01-01,1,53,7,6,35,0,0,0,0
"B13-9287",1-01-01,1,31,7,2,2,0,0,0,0
"B13-9290",1-01-01,1,4,0,2,3,0,0,0,0
"B13-9292",1-01-01,1,74,9,18,246,0,0,0,0
"B13-9295",1-01-01,1,14,1,2,14,0,0,0,0
"B13-9303",1-01-01,1,87,15,18,198,0,0,1,0
"B13-9304",1-01-01,1,67,11,17,126,0,0,0,-0.1
"B13-9305",1-01-01,1,12,1,3,3,0,0,0,-0.1
"B13-9307",1-01-01,1,1,0,1,1,0,0,0,0
"B13-9309",1-01-01,1,9,0,1,3,0,0,0,0
"B13-9310",1-01-01,1,49,8,11,38,0,0,0,0
"B13-9311",1-01-01,1,13,0,0,0,0,0,0,0
"B13-9314",1-01-01,1,60,15,10,50,0,0,0,0
"B13-9315",1-01-01,1,81,13,18,35,0,0,0,0
"B13-9316",1-01-01,1,63,8,11,40,0,0,0,0
"B13-9319",1-01-01,1,35,3,8,46,0,0,22,0
"B13-9320",1-01-01,1,71,10,19,90,0,0,0,0
"B13-9321",1-01-01,1,115,16,21,61,0,0,0,-0.1
"B13-9323",1-01-01,1,72,13,15,81,0,0,0,0
"B13-9326",1-01-01,1,71,11,9,44,0,0,0,0
"B13-9329",1-01-01,1,72,8,18,503,0,0,0,0
"B13-9331",1-01-01,1,74,9,17,47,0,0,0,0
"B13-9332",1-01-01,1,4,2,1,10,0,0,0,0
"B13-9336",1-01-01,1,91,12,15,71,0,0,0,0
"B13-9338",1-01-01,1,5,1,0,0,0,0,0,0
"B13-9339",1-01-01,1,71,12,21,203,0,0,0,0
"B13-9341",1-01-01,1,82,14,19,59,0,0,0,0
"B13-9343",1-01-01,1,50,11,8,82,0,0,0,0
"B13-9345",1-01-01,1,96,8,29,504,0,0,0,0
"B13-9346",1-01-01,1,81,18,23,226,0,0,0,-0.1
"B13-9347",1-01-01,1,5,1,0,0,0,0,0,0
"B13-9348",1-01-01,1,22,1,3,4,0,0,0,0
"B13-9349",1-01-01,1,4,1,0,0,0,0,0,-0.1
"B13-9350",1-01-01,1,39,7,4,9,0,0,0,0
"B13-9351",1-01-01,1,50,1,16,96,0,0,0,-0.1
"B13-9354",1-01-01,1,49,6,12,46,0,0,0,0
"B13-9356",1-01-01,1,62,13,15,62,0,0,0,0
"B13-9357",1-01-01,1,87,8,24,240,0,0,0,-0.1
"B13-9359",1-01-01,1,30,10,2,3,0,0,0,0
"B13-9360",1-01-01,1,86,14,17,73,0,0,0,0
"B13-9363",1-01-01,1,62,16,10,17,0,0,0,0
"B13-9365",1-01-01,1,81,12,16,299,0,0,0,-0.1
"B13-9366",1-01-01,1,93,18,13,39,0,0,0,0
"B13-9369",1-01-01,1,19,4,0,0,0,0,0,0
"B13-9371",1-01-01,1,13,4,3,3,0,0,0,0
"B13-9372",1-01-01,1,63,7,21,222,0,0,0,0
"B13-9373",1-01-01,1,84,8,13,34,0,0,0,-0.1
"B13-9375",1-01-01,1,38,7,0,0,0,0,0,0
"B13-9376",1-01-01,1,78,15,16,104,0,0,0,0
"B13-9377",1-01-01,1,55,9,14,50,0,0,2,0
"B13-9378",1-01-01,1,76,16,13,51,0,0,0,0
"B13-9379",1-01-01,1,4,1,0,2,0,0,0,0
"B13-9383",1-01-01,1,45,8,13,136,0,0,0,0
"B13-9387",1-01-01,1,5,0,1,1,0,0,0,0
"B13-9388",1-01-01,1,8,0,1,1,0,0,0,0
"B13-9391",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9394",1-01-01,1,29,6,9,34,0,0,0,0
"B13-9395",1-01-01,1,78,5,29,818,0,0,0,-0.2
"B13-9396",1-01-01,1,4,0,0,0,0,0,0,0
"B13-9397",1-01-01,1,64,17,14,89,0,0,0,0
"B13-9398",1-01-01,1,20,2,9,19,0,0,0,0
"B13-9399",1-01-01,1,39,8,7,11,0,0,0,0
"B13-9400",1-01-01,1,10,1,1,1,0,0,0,0
"B13-9403",1-01-01,1,29,9,3,13,0,0,0,0
"B13-9407",1-01-01,1,42,9,9,41,0,0,0,0
"B13-9409",1-01-01,1,33,11,6,12,0,0,2,0
"B13-9413",1-01-01,1,56,9,7,26,0,0,0,-0.1
"B13-9414",1-01-01,1,37,6,11,76,0,0,0,0
"B13-9415",1-01-01,1,76,13,24,152,0,0,0,0
"B13-9416",1-01-01,1,49,8,16,149,0,0,0,0
"B13-9417",1-01-01,1,29,4,6,50,0,0,0,0
"B13-9421",1-01-01,1,42,8,8,57,0,0,0,0
"B13-9424",1-01-01,1,45,12,3,8,0,0,0,0
"B13-9426",1-01-01,1,5,1,1,2,0,0,0,0
"B13-9427",1-01-01,1,1,0,0,0,0,0,0,0
"B13-9428",1-01-01,1,30,5,12,58,0,0,0,0
"B13-9432",1-01-01,1,16,6,0,0,0,0,0,0
"B13-9433",1-01-01,1,40,10,4,5,0,0,0,-0.1
"B13-9434",1-01-01,1,40,13,3,11,0,0,2,0
"B13-9435",1-01-01,1,3,0,0,0,0,0,0,0
"B13-9436",1-01-01,1,4,0,0,0,0,0,0,-0.1
"B13-9440",1-01-01,1,18,3,2,4,0,0,0,0
"B13-9443",1-01-01,1,8,0,0,0,0,0,0,0
"B13-9444",1-01-01,1,19,5,4,8,0,0,0,0
"B13-9447",1-01-01,1,49,14,10,52,0,0,0,0
"B13-9448",1-01-01,1,73,11,12,29,0,0,0,0
"B13-9449",1-01-01,1,36,6,9,33,0,1,0,-0.1
"B13-9450",1-01-01,1,13,1,3,6,0,0,0,0
"B13-9454",1-01-01,1,64,8,14,30,0,0,0,0
"B13-9455",1-01-01,1,18,5,2,2,0,0,0,0
"B13-9456",1-01-01,1,68,0,13,42,0,0,0,0
"B13-9457",1-01-01,1,9,0,1,2,0,0,0,0
"B13-9458",1-01-01,1,64,13,8,32,0,0,0,-0.1
"B13-9459",1-01-01,1,9,1,2,2,0,0,0,0
"B13-9464",1-01-01,1,49,10,11,111,0,0,0,-0.1
"B13-9465",1-01-01,1,91,13,22,164,0,0,0,-0.1
"B13-9466",1-01-01,1,71,12,15,145,0,0,0,0
"B13-9467",1-01-01,1,121,15,27,179,0,0,0,-0.2
"B13-9468",1-01-01,1,122,13,25,203,0,0,0,-0.1
"B13-9470",1-01-01,1,86,13,20,266,0,0,0,-0.1
"B13-9474",1-01-01,1,97,16,19,116,0,0,0,0
"B13-9476",1-01-01,1,27,9,1,2,0,0,0,0
"B13-9481",1-01-01,1,65,13,12,23,0,0,0,-0.1
"B13-9482",1-01-01,1,60,6,14,65,0,0,0,-0.1
"B13-9484",1-01-01,1,100,18,22,88,0,0,0,0
"B13-9487",1-01-01,1,133,22,27,227,0,2,0,-0.1
"B18-10000",1-01-01,1,66,12,13,96,0,1,3,0
"B18-10001",1-01-01,1,52,4,10,192,0,0,6,0
"B18-10002",1-01-01,1,30,7,6,16,0,0,0,0
"B18-10003",1-01-01,1,50,10,11,152,0,0,1,0
"B18-10004",1-01-01,1,45,10,5,26,0,0,0,0
"B18-10005",1-01-01,1,39,10,8,19,0,0,0,0
"B18-10006",1-01-01,1,43,13,5,15,0,0,0,0
"B18-10007",1-01-01,1,42,11,2,5,0,0,0,0
"B18-10011",1-01-01,1,28,8,7,32,0,0,0,0
"B18-10012",1-01-01,1,51,13,4,18,0,0,0,0
"B18-10013",1-01-01,1,57,12,8,43,0,0,0,0
"B18-10014",1-01-01,1,53,16,15,245,1,2,0,0
"B18-10015",1-01-01,1,8,3,3,16,0,0,0,0
"B18-10016",1-01-01,1,48,8,16,68,0,0,0,0
"B18-10017",1-01-01,1,47,7,13,215,0,0,0,-0.1
"B18-10019",1-01-01,1,33,6,8,11,0,0,0,-0.1
"B18-10020",1-01-01,1,16,1,6,22,0,0,0,0
"B18-10022",1-01-01,1,42,8,10,145,0,6,2,0
"B18-10023",1-01-01,1,51,14,9,52,0,2,3,0
"B18-10024",1-01-01,1,39,7,12,136,0,2,3,0
"B18-10026",1-01-01,1,16,1,2,2,0,0,0,0
"B18-10027",1-01-01,1,20,3,2,9,0,0,0,0
"B18-10028",1-01-01,1,22,5,5,10,0,0,0,0
"B18-10029",1-01-01,1,27,4,6,18,0,0,0,-0.2
"B18-10030",1-01-01,1,39,3,8,16,0,0,0,0
"B18-10031",1-01-01,1,43,5,8,17,0,0,0,0
"B18-10032",1-01-01,1,36,9,7,30,0,7,0,0
"B18-10034",1-01-01,1,41,7,13,46,0,0,0,-0.1
"B18-10035",1-01-01,1,31,7,5,10,0,1,0,0
"B18-10036",1-01-01,1,30,6,7,20,0,0,0,0
"B18-10037",1-01-01,1,36,5,7,11,0,0,0,-0.2
"B18-10038",1-01-01,1,38,7,9,105,0,0,0,0
"B18-10039",1-01-01,1,19,5,3,3,0,0,0,-0.1
"B18-10040",1-01-01,1,27,5,4,147,0,0,0,-0.2
"B18-10041",1-01-01,1,34,9,12,104,0,0,0,0
"B18-10042",1-01-01,1,36,5,12,32,0,0,0,-0.1
"B18-10043",1-01-01,1,37,5,15,470,0,0,0,-0.1
"B18-10044",1-01-01,1,13,3,2,2,0,0,0,0
"B18-10045",1-01-01,1,18,3,1,2,0,0,0,0
"B18-10046",1-01-01,1,34,4,10,80,0,0,1,-0.1
"B18-10047",1-01-01,1,6,1,1,27,0,0,0,0
"B18-10048",1-01-01,1,7,3,2,8,0,0,0,0
"B18-10049",1-01-01,1,9,2,2,8,0,0,0,0
"B18-10050",1-01-01,1,16,5,5,26,0,0,2,0
"B18-10051",1-01-01,1,15,5,4,30,0,0,2,0
"B18-10052",1-01-01,1,41,5,10,296,1,0,0,-0.2
"B18-10053",1-01-01,1,43,2,14,390,0,0,0,-0.2
"B18-10054",1-01-01,1,46,14,8,21,1,1,0,-0.1
"B18-10055",1-01-01,1,42,8,2,3,0,0,3,0
"B18-10056",1-01-01,1,43,15,8,22,0,1,0,0
"B18-10057",1-01-01,1,34,7,7,93,0,1,0,-0.1
"B18-10058",1-01-01,1,7,2,1,2,0,0,0,0
"B18-10059",1-01-01,1,26,3,4,8,0,0,0,-0.1
"B18-10060",1-01-01,1,47,6,8,153,0,0,0,-0.1
"B18-10061",1-01-01,1,31,9,4,11,0,0,0,-0.1
"B18-10062",1-01-01,1,43,12,8,54,0,1,0,0
"B18-10063",1-01-01,1,14,4,2,3,0,0,0,0
"B18-10064",1-01-01,1,27,3,7,18,0,0,1,0
"B18-10065",1-01-01,1,24,2,8,49,0,0,0,-0.1
"B18-10066",1-01-01,1,23,3,4,16,0,0,0,-0.1
"B18-10067",1-01-01,1,19,4,3,16,0,0,0,-0.2
"B18-10068",1-01-01,1,26,7,4,6,0,1,0,-0.1
"B18-10069",1-01-01,1,13,4,4,24,0,0,0,0
"B18-10070",1-01-01,1,29,5,5,18,0,3,0,0
"B18-10071",1-01-01,1,22,3,3,3,0,0,0,0
"B18-10072",1-01-01,1,18,4,4,8,0,0,0,0
"B18-10073",1-01-01,1,37,15,5,60,0,1,0,-0.1
"B18-10074",1-01-01,1,54,8,13,44,0,0,0,-0.2
"B18-10075",1-01-01,1,61,15,25,351,0,0,0,-0.1
"B18-10076",1-01-01,1,43,12,10,24,0,1,1,0
"B18-10077",1-01-01,1,43,9,8,54,0,1,2,0
"B18-10078",1-01-01,1,49,12,9,106,0,5,0,0
"B18-10079",1-01-01,1,32,8,6,52,0,7,0,0
"B18-10080",1-01-01,1,18,1,6,790,0,0,0,0
"B18-10081",1-01-01,1,25,8,7,63,0,0,0,0
"B18-10082",1-01-01,1,26,7,9,61,0,0,0,0
"B18-10083",1-01-01,1,41,6,12,110,0,0,0,-0.1
"B18-10084",1-01-01,1,5,1,3,20,0,0,0,0
"B18-10085",1-01-01,1,18,4,1,24,0,0,0,-0.1
"B18-10086",1-01-01,1,28,5,8,74,0,0,0,-0.1
"B18-10087",1-01-01,1,20,3,9,28,0,0,0,0
"B18-10088",1-01-01,1,36,8,9,62,0,0,0,0
"B18-10089",1-01-01,1,51,8,8,47,0,0,0,0
"B18-10090",1-01-01,1,20,1,5,36,0,0,0,0
"B18-10091",1-01-01,1,56,14,5,19,0,0,0,-0.1
"B18-10092",1-01-01,1,33,3,5,22,0,0,0,-0.1
"B18-10093",1-01-01,1,41,5,9,54,0,1,0,-0.1
"B18-10094",1-01-01,1,39,10,5,16,0,0,0,0
"B18-10095",1-01-01,1,31,1,5,12,0,0,0,0
"B18-10096",1-01-01,1,61,13,12,73,0,0,0,0
"B18-10097",1-01-01,1,43,10,5,28,0,0,0,0
"B18-10098",1-01-01,1,55,6,10,38,0,0,0,0
"B18-10099",1-01-01,1,54,9,9,58,0,0,0,0
"B18-10100",1-01-01,1,71,13,8,13,0,0,0,0
"B18-10101",1-01-01,1,36,7,1,5,0,0,0,0
"B18-10102",1-01-01,1,37,11,7,23,0,0,0,0
"B18-10103",1-01-01,1,18,2,3,4,0,0,0,0
"B18-10104",1-01-01,1,18,3,5,10,0,0,0,-0.1
"B18-10105",1-01-01,1,42,9,7,25,0,0,0,0
"B18-10106",1-01-01,1,54,10,11,47,0,0,0,0
"B18-10107",1-01-01,1,41,8,7,36,0,0,0,0
"B18-10108",1-01-01,1,43,9,5,18,0,0,0,0
"B18-10109",1-01-01,1,45,9,10,36,0,0,0,0
"B18-10110",1-01-01,1,29,10,4,12,0,0,0,0
"B18-10111",1-01-01,1,48,9,3,12,0,0,0,0
"B18-10112",1-01-01,1,33,4,7,84,0,0,0,0
"B18-10113",1-01-01,1,32,8,5,13,0,5,0,-0.1
"B18-10114",1-01-01,1,35,9,10,151,0,7,0,0
"B18-10115",1-01-01,1,43,8,15,232,0,3,0,0
"B18-10116",1-01-01,1,27,3,6,14,0,1,0,0
"B18-10117",1-01-01,1,43,6,8,21,0,0,0,-0.1
"B18-10118",1-01-01,1,69,16,15,63,0,1,0,-0.1
"B18-10119",1-01-01,1,35,5,7,60,0,0,0,-0.1
"B18-10120",1-01-01,1,39,4,6,14,0,0,0,0
"B18-10121",1-01-01,1,24,6,9,75,0,12,0,0
"B18-10122",1-01-01,1,61,12,4,9,0,0,0,-0.1
"B18-10123",1-01-01,1,36,7,11,97,0,4,0,0
"B18-10124",1-01-01,1,6,1,5,18,0,0,0,0
"B18-10125",1-01-01,1,9,1,1,1,0,0,0,0
"B18-10126",1-01-01,1,18,5,10,15,0,1,0,0
"B18-10127",1-01-01,1,6,1,2,3,0,0,0,0
"B18-10128",1-01-01,1,10,1,2,3,0,0,0,0
"B18-10129",1-01-01,1,30,9,4,69,0,0,1,0
"B18-10130",1-01-01,1,36,7,8,27,0,2,0,0
"B18-10131",1-01-01,1,30,9,3,4,0,0,0,-0.2
"B18-10132",1-01-01,1,50,13,9,350,0,0,0,-0.1
"B18-10133",1-01-01,1,37,3,6,25,0,0,0,0
"B18-10134",1-01-01,1,44,7,1,5,0,0,0,-0.2
"B18-10135",1-01-01,1,26,7,5,18,0,1,0,0
"B18-10136",1-01-01,1,26,7,4,9,0,0,0,0
"B18-10137",1-01-01,1,22,7,4,15,0,0,0,0
"B18-10138",1-01-01,1,13,3,1,1,0,0,0,0
"B18-10139",1-01-01,1,22,4,1,1,0,0,0,0
"B18-10140",1-01-01,1,17,5,1,3,0,0,0,0
"B18-10141",1-01-01,1,23,4,7,22,0,0,0,0
"B18-10142",1-01-01,1,48,10,15,92,0,0,0,-0.1
"B18-10143",1-01-01,1,30,6,7,37,0,0,1,0
"B18-10144",1-01-01,1,46,9,13,55,0,0,0,-0.1
"B18-10146",1-01-01,1,24,4,6,24,0,0,0,0
"B18-10148",1-01-01,1,14,2,2,104,86,0,0,-0.2
"B18-10149",1-01-01,1,66,13,10,60,0,0,0,-0.2
"B18-10150",1-01-01,1,58,12,12,110,0,2,0,-0.1
"B18-10151",1-01-01,1,19,3,2,75,0,0,0,-0.1
"B18-10152",1-01-01,1,13,3,3,8,0,0,0,0
"B18-10155",1-01-01,1,9,2,2,4,0,0,0,0
"B18-10156",1-01-01,1,26,6,4,40,0,0,0,-0.1
"B18-10158",1-01-01,1,22,6,1,3,0,0,0,-0.2
"B18-10159",1-01-01,1,14,6,3,3,0,0,0,0
"B18-10161",1-01-01,1,40,9,10,151,0,0,0,-0.1
"B18-10162",1-01-01,1,25,11,4,75,0,1,0,0
"B18-10163",1-01-01,1,57,17,7,117,0,0,0,-0.2
"B18-10164",1-01-01,1,31,8,8,16,0,0,0,-0.1
"B18-10165",1-01-01,1,28,11,2,9,0,0,0,-0.1
"B18-10166",1-01-01,1,15,6,3,4,0,0,1,0
"B18-10167",1-01-01,1,6,3,2,7,0,0,0,0
"B18-10168",1-01-01,1,11,6,1,2,0,0,0,0
"B18-10169",1-01-01,1,14,6,0,0,0,0,0,-0.2
"B18-10170",1-01-01,1,24,9,3,4,0,1,0,-0.1
